,Codigo,Descrição       -       31/07/2022,UM,Import?,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Total,Saldo,Freq.,Media,Tempo,FOB,Venda,Ativo,Entrada Prevista
547,'BFH1387,BF CH FIXA AC 08X09MM,PC,Sim,70,128,76,158,101,50,583,13075,6,97.16667,134.5626,0.0276,2.76,S,0
548,'BFH1388,BF CH FIXA AC 10X11MM,PC,Sim,120,364,187,187,162,84,1104,9510,6,184,51.68478,0.0306,3.12,S,0
549,'BFH1389,BF CH FIXA AC 12X13MM,PC,Sim,112,356,253,173,202,104,1200,20341,6,200,101.705,0.038,3.62,S,0
550,'BFH1390,BF CH FIXA AC 14X15MM,PC,Sim,76,164,132,128,124,102,726,14341,6,121,118.5207,0.01,4.2,S,0
551,'BFH1391,BF CH FIXA AC 16X17MM,PC,Sim,23,126,119,32,99,46,445,7546,6,74.16667,101.7438,0.06,4.84,S,0
552,'BFH1392,BF CH FIXA AC 18X19MM,PC,Sim,18,95,53,36,90,30,322,7122,6,53.66667,132.7081,0.08,5.98,S,0
553,'BFH1393,BF CH FIXA AC 20X22MM,PC,Sim,8,55,24,20,68,22,197,5614,6,32.83333,170.9848,0.11,8.18,S,0
554,'BFH1394,BF CH ESTRELA AC 06X07MM,PC,Sim,30,38,60,52,82,0,262,6586,5,52.4,125.687,0.06,6,S,0
555,'BFH1395,BF CH ESTRELA AC 08X09MM,PC,Sim,142,66,41,104,130,12,495,8211,6,82.5,99.52727,0.07,6.4,S,0
556,'BFH1396,BF CH ESTRELA AC 10X11MM,PC,Sim,177,152,124,96,212,12,773,11070,6,128.8333,85.92497,0.01,7.46,S,0
557,'BFH1397,BF CH ESTRELA AC 12X13MM,PC,Sim,189,144,172,113,168,54,840,8834,6,140,63.1,0.01,8.3,S,0
558,'BFH1398,BF CH ESTRELA AC 14X15MM,PC,Sim,148,136,136,69,108,38,635,5762,6,105.8333,54.44409,0.01,10.08,S,0
559,'BFH1399,BF CH ESTRELA AC 16X17MM,PC,Sim,102,64,64,92,63,102,487,6582,6,81.16667,81.0924,0.01,11.46,S,0
560,'BFH1400,BF CH ESTRELA AC 18X19MM,PC,Sim,189,35,22,32,73,14,365,2904,6,60.83333,47.73699,0.01,12.68,S,0
561,'BFH1401,BF CH ESTRELA AC 20X22MM,PC,Sim,135,31,14,42,53,12,287,2591,6,47.83333,54.16725,0.2,15.4,S,0
562,'BFH1402,BF CH COMBINADA AC 6MM,PC,Sim,216,118,110,27,98,44,613,6610,6,102.1667,64.69821,0.0336,4.04,S,0
563,'BFH1403,BF CH COMBINADA AC 7MM,PC,Sim,316,159,642,22,80,62,1281,9828,6,213.5,46.03279,0.0336,4.08,S,0
564,'BFH1404,BF CH COMBINADA AC 8MM,PC,Sim,408,494,722,231,120,110,2085,9963,6,347.5,28.6705,0.01,4.18,S,0
565,'BFH1405,BF CH COMBINADA AC 9MM,PC,Sim,242,344,614,115,129,74,1518,16720,6,253,66.08696,0.0366,4.5,S,0
566,'BFH1406,BF CH COMBINADA AC 10MM,PC,Sim,701,2096,1216,578,863,554,6008,26324,6,1001.333,26.28895,0.01,4.66,S,0
567,'BFH1407,BF CH COMBINADA AC 11MM,PC,Sim,1037,1637,1264,473,359,429,5199,35670,6,866.5,41.16561,0.01,4.8,S,0
568,'BFH1408,BF CH COMBINADA AC 12MM,PC,Sim,679,1413,582,350,591,288,3903,21410,6,650.5,32.91314,0.01,5,S,0
569,'BFH1409,BF CH COMBINADA AC 13MM,PC,Sim,846,1467,804,653,1173,618,5561,44052,6,926.8333,47.52958,0.01,5.12,S,0
570,'BFH1410,BF CH COMBINADA AC 14MM,PC,Sim,350,870,754,213,600,452,3239,17761,6,539.8333,32.9009,0.01,5.74,S,0
571,'BFH1411,BF CH COMBINADA AC 15MM,PC,Sim,560,1078,518,260,759,353,3528,26456,6,588,44.9932,0.01,6.66,S,0
572,'BFH1412,BF CH COMBINADA AC 16MM,PC,Sim,304,378,304,120,367,142,1615,12750,6,269.1667,47.36842,0.01,7.68,S,0
573,'BFH1413,BF CH COMBINADA AC 17MM,PC,Sim,255,369,238,139,272,117,1390,17827,6,231.6667,76.95108,0.01,8.18,S,0
574,'BFH1414,BF CH COMBINADA AC 18MM,PC,Sim,177,197,154,32,229,31,820,11098,6,136.6667,81.20488,0.01,8.74,S,0
575,'BFH1415,BF CH COMBINADA AC 19MM,PC,Sim,143,246,196,122,343,95,1145,13036,6,190.8333,68.31092,0.01,9.6,S,0
576,'BFH1416,BF CH COMBINADA AC 20MM,PC,Sim,212,233,144,9,33,59,690,3821,6,115,33.22609,0.01,11.04,S,0
577,'BFH1417,BF CH COMBINADA AC 21MM,PC,Sim,140,125,134,18,32,2,451,1778,6,75.16667,23.6541,0.12,12.36,S,0
578,'BFH1418,BF CH COMBINADA AC 22MM,PC,Sim,107,141,200,60,42,24,574,6647,6,95.66667,69.48084,0.01,13.8,S,0
579,'BFH1419,BF ALICATE DE PRESSAO 10POL CURVO,PC,Sim,456,577,455,590,469,657,3204,7126,6,534,13.34457,0.01,27.1,S,0
580,'BFH1420,BF KIT REPARO DE PNEU,PC,Sim,2898,5883,5931,5762,4525,4453,29452,26249,6,4908.667,5.347481,0.01,9.36,S,52848
581,'BFH1421,BF ARCO DE SERRA REGULAVEL 12POL,PC,Sim,573,808,792,900,320,656,4049,13390,6,674.8333,19.84194,0.01,17.8,S,9600
582,'BFH1422,BF JG CHAVE TORX PEQUENA 9PCS AC,PC,Sim,239,719,535,452,284,424,2653,3719,6,442.1667,8.410856,0.01,24.4,S,4824
583,'BFH1423,BF JG CHAVE TORX MEDIA 9PCS AC,PC,Sim,140,230,205,224,132,201,1132,3122,6,188.6667,16.5477,0.01,34.52,S,0
584,'BFH1424,BF ALICATE 8POL UNIVERSAL HOBBY,PC,Sim,2295,4451,3080,3561,2555,2777,18719,42763,6,3119.833,13.70682,0.01,17.28,S,0
